brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
奔驰,奔驰C级,https://p9-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,16324,24.98-38.05万,北京奔驰,22,中型车,48V轻混系统,2024.09,3年不限公里
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/img/motor-mis-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,16169,7.98-14.48万,一汽丰田,23,紧凑型SUV,汽油,2024.06,3年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,15994,8.08-13.98万,广汽丰田,24,紧凑型SUV,汽油,2024.07,3年或10万公里
比亚迪,海豚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4f90467b59e54ad7a74c035d516e7772~tplv-resize:640:0.png,15984,9.98-12.98万,比亚迪,25,小型车,纯电动,2024.07,6年或15万公里
比亚迪,宋L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6dfaee65baf84590a77bc404502b8332~tplv-resize:640:0.png,15750,13.58-17.58万,比亚迪,26,中型SUV,插电式混合动力,2024.07,6年或15万公里
长安,长安Lumin,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,15701,2.59-6.19万,长安汽车,27,微型车,纯电动,2024.09,3年或12万公里
比亚迪,秦PLUS EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f2c7ac4f763b45f99d6492adc2ee9f39~tplv-resize:640:0.png,15653,10.98-15.98万,比亚迪,28,紧凑型车,纯电动,2024.02,6年或15万公里
埃安,AION Y,https://p3-dcd.byteimg.com/img/motor-mis-img/a4dcf08d322941eb5259fbcb35ead82e~tplv-resize:640:0.png,15166,9.98-14.08万,广汽埃安新能源,29,紧凑型SUV,纯电动,2024.03,4年或15万公里
丰田,凯美瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f03dc47b2bf642968efaed9fc4afb46e~tplv-resize:640:0.png,15142,14.18-22.98万,广汽丰田,30,中型车,汽油,2024.03,3年或10万公里
大众,探岳,https://p9-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,14904,14.49-19.99万,一汽-大众,31,中型SUV,汽油,2023.10,3年或10万公里
奔驰,奔驰GLC,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,13976,42.77-53.12万,北京奔驰,32,中型SUV,48V轻混系统,2024.03,3年不限公里
奇瑞,瑞虎8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/734a4fbac7cf461293613d4f1a478e5b~tplv-resize:640:0.png,13430,8.99-15.99万,奇瑞汽车,33,中型SUV,汽油,2023.10,3年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fae84b4c399e4a4294a7eca0fec5be6c~tplv-resize:640:0.png,13119,13.28-24.18万,上汽大众,34,中型SUV,汽油,2024.05,3年或10万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a507b6ec14c4ead9c95c336893aa9d2~tplv-resize:640:0.png,13111,21.59-29.99万,小米汽车,35,中大型车,纯电动,2024.03,5年或10万公里
奥迪,奥迪A6L,https://p3-dcd.byteimg.com/img/motor-mis-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,13036,34.70-55.20万,一汽奥迪,36,中大型车,汽油,2023.10,3年或10万公里
大众,迈腾,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png,12808,11.29-22.69万,一汽-大众,37,中型车,汽油,2024.07,3年或10万公里
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/75ebab9e98d24c8b86fbae3f3554dc15~tplv-resize:640:0.png,12558,9.59-12.49万,长安汽车,38,紧凑型SUV,汽油,2024.03,3年或10万公里
奥迪,奥迪Q5L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/67161a339e5c4639bdcfc59d4b67efc9~tplv-resize:640:0.png,12279,30.20-37.88万,一汽奥迪,39,中型SUV,汽油,2023.10,3年或10万公里
吉利银河,银河E5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7dfb9003d5cd4fac8050640893630cc1~tplv-resize:640:0.png,12227,10.98-14.58万,吉利银河,40,紧凑型SUV,纯电动,2024.08,6年或15万公里
埃安,AION S,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eb774d9fa2a143efbfa6dfd38fbea82f~tplv-resize:640:0.png,12169,11.48-16.49万,广汽埃安新能源,41,紧凑型车,纯电动,2024.07,4年或15万公里
本田,本田CR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-resize:640:0.png,12105,13.09-20.89万,东风本田,42,紧凑型SUV,油电混合,2024.04,3年或10万公里
红旗,红旗H5,https://p9-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,12021,11.98-18.58万,一汽红旗,43,中型车,汽油,2023.08,4年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png,11864,6.99-7.99万,长安汽车,44,紧凑型车,汽油,2024.03,3年或10万公里
比亚迪,宋PLUS EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/99ab2b7854cc4a7ebd590ca4934b9e80~tplv-resize:640:0.png,11419,14.98-18.98万,比亚迪,45,紧凑型SUV,纯电动,2024.08,6年或15万公里
AITO,问界M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/887713ee6ba84da6b8962888260c914f~tplv-resize:640:0.png,11265,24.98-32.98万,赛力斯汽车,46,中大型SUV,增程式,2024.08,4年或10万公里
捷途,捷途X70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,11221,7.79-16.29万,奇瑞汽车,47,中型SUV,汽油,2024.04,4年或10万公里
比亚迪,唐DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c1608c9862b4aafb901b9e9e392ad03~tplv-resize:640:0.png,11188,17.98-26.98万,比亚迪,48,中型SUV,插电式混合动力,2024.02,6年或15万公里
吉利汽车,熊猫,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/faf3420cf3fd4f949f777c2ad1d1d0cc~tplv-resize:640:0.png,11122,2.99-4.89万,吉利汽车,49,微型车,纯电动,2024.03,3年或12万公里
丰田,威兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/061f73faac15418fa6d7153922aa4efc~tplv-resize:640:0.png,11101,12.38-21.48万,广汽丰田,50,紧凑型SUV,汽油,2024.05,3年或10万公里
捷途,捷途旅行者,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a4c5373170314e3e93ccc6dae5b7963d~tplv-resize:640:0.png,10887,13.99-21.99万,奇瑞汽车,51,紧凑型SUV,汽油,2024.01,4年或10万公里
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,10743,8.49-13.39万,奇瑞汽车,52,紧凑型车,汽油,2024.03,3年或10万公里
吉利汽车,星瑞,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,10569,9.27-13.57万,吉利汽车,53,紧凑型车,汽油,2024.06,4年或10万公里
吉利汽车,博越,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c591393097534aa39a6e665dbf35d86b~tplv-resize:640:0.png,10437,8.38-11.38万,吉利汽车,54,紧凑型SUV,汽油,2024.06,4年或10万公里
本田,雅阁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-resize:640:0.png,10374,11.48-16.38万,广汽本田,55,中型车,汽油,2024.01,3年或10万公里
理想汽车,理想L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/eb87a765755d45a3920455aabdadadcb~tplv-resize:640:0.png,10307,30.18-35.98万,理想汽车,56,中大型SUV,增程式,2024.03,5年或10万公里
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,10066,9.89-12.49万,长城汽车,57,紧凑型SUV,汽油,2023.07,3年或10万公里
红旗,红旗E-QM5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/20187774599c4f4186b8e9913cf2989a~tplv-resize:640:0.png,9782,13.08-20.48万,一汽红旗,58,中型车,纯电动,2024.04,3年或30万公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,9758,11.99-21.19万,广汽本田,59,紧凑型SUV,油电混合,2024.01,3年或10万公里
丰田,卡罗拉,https://p9-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,9578,7.18-11.08万,一汽丰田,60,紧凑型车,汽油,2024.07,3年或10万公里
大众,大众ID.3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/42a481517c384446ae0fe27e3f2c1248~tplv-resize:640:0.png,9468,11.39-13.69万,上汽大众,61,紧凑型车,纯电动,2024.07,3年或10万公里
日产,逍客,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/74a5e843ff5340aea475757a258d43bb~tplv-resize:640:0.png,9353,9.39-15.99万,东风日产,62,紧凑型SUV,汽油,2024.08,3年或10万公里
丰田,亚洲龙,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png,9264,14.88-22.98万,一汽丰田,63,中型车,汽油,2024.07,3年或10万公里
大众,宝来,https://p3-dcd.byteimg.com/img/motor-mis-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,8793,6.79-9.89万,一汽-大众,64,紧凑型车,汽油,2024.04,3年或10万公里
腾势,腾势D9 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0fa1a154670f4bb9b330d0b931fa4024~tplv-resize:640:0.png,8722,32.48-60.05万,腾势汽车,65,中大型MPV,插电式混合动力,2024.03,6年或15万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c02aa97643944bed96a20db674f0fcb6~tplv-resize:640:0.png,8700,44.71-59.97万,北京奔驰,66,中大型车,48V轻混系统,2023.12,3年不限公里
极氪,ZEEKR 001,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c6e1943c2094ec2a14fd460d2c0ba4d~tplv-resize:640:0.png,8481,25.90-32.90万,极氪,67,中大型车,纯电动,2024.08,4年或10万公里
奥迪,奥迪A4L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/da440185e7f349d6b0d58938facb129d~tplv-resize:640:0.png,8444,23.10-29.78万,一汽奥迪,68,中型车,汽油,2023.10,3年或10万公里
比亚迪,汉DM,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c69cf8c4db23427ba2618cd3bf115b9e~tplv-resize:640:0.png,8347,16.58-25.98万,比亚迪,69,中大型车,插电式混合动力,2024.09,6年或15万公里
丰田,赛那,https://p3-dcd.byteimg.com/img/motor-mis-img/3d40895e3ab4e118a086187f7e78ebba~tplv-resize:640:0.png,8107,26.98-38.28万,广汽丰田,70,中大型MPV,油电混合,2024.04,3年或10万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f4da599a90704dfabdcd45194b4dea30~tplv-resize:640:0.png,8048,6.08-8.98万,吉利汽车,71,小型SUV,汽油,2024.07,4年或10万公里
零跑汽车,零跑C16,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a2008aca31f649d7b646f0aecfbdbd5c~tplv-resize:640:0.png,8032,15.58-18.58万,零跑汽车,72,中大型SUV,增程式,2024.06,4年或12万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/img/motor-mis-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-resize:640:0.png,7921,19.99-29.99万,华晨宝马,73,中型车,汽油,2022.08,3年或10万公里
蔚来,蔚来ES6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64a3a0a4ae604ebab934377a157a9851~tplv-resize:640:0.png,7694,33.80-39.60万,蔚来,74,中型SUV,纯电动,2024.02,3年或12万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c7a30225a14f419081c59073b9e2b74d~tplv-resize:640:0.png,7246,13.88-20.48万,一汽红旗,75,中型SUV,汽油,2024.03,4年或10万公里
丰田,格瑞维亚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dc353aa6c1ef46eda1ea28f39304c725~tplv-resize:640:0.png,7161,26.98-38.68万,一汽丰田,76,中大型MPV,油电混合,2024.04,4年或10万公里
深蓝汽车,深蓝S07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e547cdc3ae5c487e87a624378b76ab13~tplv-resize:640:0.png,7131,13.99-19.79万,深蓝汽车,77,中型SUV,增程式,2024.07,3年或12万公里
长安,长安UNI-Z PHEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b9b0c69241984c2a9a06d1245041668f~tplv-resize:640:0.png,7036,11.79-13.19万,长安汽车,78,紧凑型SUV,插电式混合动力,2024.03,3年或10万公里
比亚迪,汉EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/493e0427e3c64f15b5bc539dd54ff0a7~tplv-resize:640:0.png,6979,17.98-24.98万,比亚迪,79,中大型车,纯电动,2024.09,6年或15万公里
五菱汽车,五菱宏光,https://p3-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,6978,4.45-5.89万,上汽通用五菱,80,微面,汽油,2022.07,3年或10万公里
吉利汽车,帝豪,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c786d6818bf460fabdb81c0cdf5f760~tplv-resize:640:0.png,6945,5.19-12.08万,吉利汽车,81,紧凑型车,汽油,2024.07,4年或15万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c5aa014fea141568f6df9bf6a486db0~tplv-resize:640:0.png,6878,12.78-20.58万,零跑汽车,82,中型SUV,增程式,2024.03,4年或12万公里
广汽传祺,传祺M8,https://p9-dcd.byteimg.com/img/motor-mis-img/6e784e8e17abc04adea0d726fe51ff69~tplv-resize:640:0.png,6736,16.98-33.28万,广汽传祺,83,中大型MPV,汽油,2024.05,3年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,6696,40.98-43.98万,理想汽车,84,大型SUV,增程式,2024.03,5年或10万公里
奇瑞,风云T9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/987f70ca6b3c413da98a13edc41e2ae4~tplv-resize:640:0.png,6578,12.99-16.99万,奇瑞汽车,85,中型SUV,插电式混合动力,2024.05,不限年限/里程(责任免除条款以官方为准)
零跑汽车,零跑C10,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d13ed8572aea4511add91d86acb100f5~tplv-resize:640:0.png,6554,12.88-16.88万,零跑汽车,86,中型SUV,增程式,2024.03,4年或12万公里
领克,领克08 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,6454,17.88-27.10万,领克,87,中型SUV,插电式混合动力,2024.08,5年或10万公里
领克,领克07 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a76a8a25a58848549e8de313a4903da4~tplv-resize:640:0.png,6453,15.98-17.98万,领克,88,中型车,插电式混合动力,2024.05,5年或10万公里
比亚迪,海豹07 DM-i,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/edfc298f78cb47e7ba2965e3b962f2a6~tplv-resize:640:0.png,6337,13.98-19.58万,比亚迪,89,中型车,插电式混合动力,2024.08,6年或15万公里
哈弗,哈弗猛龙,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a9dc9e5ea72d414cb832108cf2404eef~tplv-resize:640:0.png,6073,15.78-18.88万,长城汽车,91,紧凑型SUV,插电式混合动力,2024.04,6年或15万公里
吉利银河,银河L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f10ed13fe0594fda9a42cee9eebd18c1~tplv-resize:640:0.png,6061,11.37-16.57万,吉利银河,92,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fe6bc328cfa64a6eb81d94f888a6e001~tplv-resize:640:0.png,6045,20.88-29.58万,广汽丰田,93,中型SUV,油电混合,2024.05,3年或10万公里
捷途,捷途山海T2,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/aa7a7ac338c74ce58dc6939b43be91fa~tplv-resize:640:0.png,6014,17.99-20.99万,奇瑞汽车,94,紧凑型SUV,插电式混合动力,2024.04,4年或10万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6ef160326cdc43d6b8395d9b0ae6a31c~tplv-resize:640:0.png,5971,27.96-36.69万,华晨宝马,95,中型SUV,汽油,2023.02,3年或10万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,5954,10.09-14.79万,上汽大众,96,紧凑型车,汽油,2023.08,3年或10万公里
哈弗,哈弗H6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/62328473441241d98a6a623ffe67178f~tplv-resize:640:0.png,5807,7.69-12.99万,长城汽车,97,紧凑型SUV,汽油,2024.06,3年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e85fab8db1b346578e344ab528cbeaa2~tplv-resize:640:0.png,5600,31.99-40.59万,华晨宝马,98,中大型车,48V轻混系统,2024.01,3年或10万公里
吉利银河,银河L6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a2c43577f9c04ca98575a871846c7b7a~tplv-resize:640:0.png,5510,9.38-12.98万,吉利银河,99,紧凑型车,插电式混合动力,2024.03,4年或10万公里
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,5476,32.18-37.98万,理想汽车,100,中大型SUV,增程式,2024.03,5年或10万公里
比亚迪,海狮07 EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b69406d5ac524645bf19f945f9887226~tplv-resize:640:0.png,5388,18.98-23.98万,比亚迪,101,中型SUV,纯电动,2024.05,6年或15万公里
丰田,丰田bZ3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cbf3ea024efc4e49ad282ed1bdc84cc4~tplv-resize:640:0.png,5326,14.48-17.48万,一汽丰田,102,中型车,纯电动,2024.01,3年或10万公里
AITO,问界M5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4b38b8a6aaa5407a9f6c0bb5bc346058~tplv-resize:640:0.png,5306,24.98-27.98万,赛力斯汽车,103,中型SUV,增程式,2024.04,4年或10万公里
丰田,皇冠陆放,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/6a54e46c78d64ba591d90dcaeeef96d7~tplv-resize:640:0.png,5252,21.78-30.28万,一汽丰田,104,中型SUV,油电混合,2024.05,3年或10万公里
宝马,宝马X5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,5103,54.50-73.00万,华晨宝马,105,中大型SUV,48V轻混系统,2023.08,3年或10万公里
小鹏汽车,小鹏G6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67c41851c96341c19c0461ff9db91911~tplv-resize:640:0.png,5028,17.99-25.69万,小鹏汽车,106,中型SUV,纯电动,2024.04,5年或12万公里
大众,途岳,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png,4997,7.99-16.66万,上汽大众,107,紧凑型SUV,汽油,2024.08,3年或10万公里
长安,长安UNI-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/16e21ac894654caebd0997e976d3bebf~tplv-resize:640:0.png,4941,9.69-12.19万,长安汽车,108,紧凑型车,汽油,2024.03,3年或10万公里
奇瑞,瑞虎9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/caa1cbaa09cb482696fed72e71514aaa~tplv-resize:640:0.png,4914,13.79-19.49万,奇瑞汽车,109,中型SUV,汽油,2024.04,3年或10万公里
方程豹,豹5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c4dd30eca44470a917d366c05db05b5~tplv-resize:640:0.png,4876,23.98-30.28万,方程豹,110,中型SUV,插电式混合动力,2024.04,6年或15万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,4863,17.89-29.99万,华晨宝马,111,紧凑型SUV,汽油,2024.08,3年或10万公里
北京,北京BJ30,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/448e361c30114bf38bc4f1c09495a63f~tplv-resize:640:0.png,4817,9.99-13.69万,北京汽车,112,紧凑型SUV,汽油,2024.05,5年或15万公里
蔚来,蔚来ET5T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a03cf015743343d0aa5a45c8b02551c9~tplv-resize:640:0.png,4755,29.80-35.60万,蔚来,113,中型车,纯电动,2024.02,3年或12万公里
深蓝汽车,深蓝SL03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,4747,12.49-68.49万,深蓝汽车,114,中型车,增程式,2024.02,3年或12万公里
